COD_BENEF_BI,FECHAINI,HORAINI,DURACION,CSE_RSH,EDAD_GRUPO,SEXO,DIRECCION_ZONAL,P00,P0,P1,P2,P3,P4,P5,P6,P7,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,FE
82869375,17-12-2021,18:20:47,363,>80-NA,60+,HOMBRE,NC,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me cambiaría a Isapre,Sí,No,,Sí,No lo necesito,Nada urgente,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, algunos",,Sí,10000,No,Sí,Sí,Pensionado,No,,Sí,,Providencia,Sí,No,6430
84814954,07-12-2021,17:20:48,527,0-40,60+,MUJER,CN,Sí,Sí,Fonasa,Prefiere sistema público,Me cambiaría a Isapre,Sí,No,,Sí,Muy urgente,Muy urgente,No lo necesito,No lo necesito,No lo necesito,Muy urgente,No lo necesito,Igual que presencial,Sí,Centro privado,"No, ninguno",Prefirió comprarlos por ser más rápido,Sí,50000,Sí,No,,Pensionado,No,,No,,Coquimbo,Sí,Sí,6851.6313
84643563,14-12-2021,14:41:40,252,>80-NA,60+,HOMBRE,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,No,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No me atendería,No,,,,,,No,Sí,No,Pensionado,No,,No,,San Joaquín,Sí,Sí,6430
70295180,03-12-2021,17:19:54,197,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,No,No,No necesito,No,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Muy urgente,Sólo en restricciones,No,,,,,,No,No,,Pensionado,No,,No,,Quilicura,Sí,Sí,6565.9058
71205983,04-12-2021,15:40:42,555,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,No lo necesito,No lo necesito,Poco urgente,Muy urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,Sí,10000,No,No,,Pensionado,No,,No,,Las Condes,Sí,Sí,6565.9058
76131922,10-12-2021,13:16:01,347,>80-NA,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,,Sí,Sí,,Sí,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Igual que presencial,Sí,Médico particular,"No, ninguno",No están disponibles,Sí,70000,No,Sí,No,Pensionado,No,,No,,San Miguel,Sí,Sí,6916.375
999,06-12-2021,18:51:03,460,0-40,60+,MUJER,NC,Sí,Sí,Fonasa,Siempre ha estado en Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,No lo necesito,No lo necesito,No lo necesito,No lo necesito,Nada urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,No,,Quehaceres del hogar,No,,No,,Lo Prado,No,Sí,6565.9058
76432778,09-12-2021,13:25:22,487,0-40,60+,HOMBRE,NC,Sí,Sí,Fonasa,Es más económico Fonasa,Me quedaría en Fonasa,Sí,No,,Sí,Nada urgente,Poco urgente,Nada urgente,No lo necesito,Nada urgente,No lo necesito,No lo necesito,No me atendería,Sí,Consultorio,"Sí, algunos",,No,,No,No,,Pensionado,No,,No,,Maipú,Sí,Sí,6813.6841
70632535,09-12-2021,18:41:57,736,0-40,60+,MUJER,S,Sí,Sí,Fonasa,No tiene ingresos para Isapre,Me quedaría en Fonasa,Sí,No,,Sí,Poco urgente,Nada urgente,No lo necesito,Poco urgente,Muy urgente,No lo necesito,No lo necesito,Sólo en restricciones,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Osorno,Sí,Sí,6573.25
77819465,14-12-2021,13:08:48,426,41-80,60+,HOMBRE,CN,Sí,Sí,Fonasa,Prefiere sistema público,Me cambiaría a Isapre,Sí,No,,Sí,Poco urgente,Urgente,No lo necesito,Nada urgente,No lo necesito,Nada urgente,No lo necesito,No me atendería,Sí,Consultorio,"Sí, todos",,No,,No,Sí,No,Pensionado,No,,No,,Monte Patria,Sí,Sí,6720.25
